Region,TownSize,Gender,Age,EducationYears,JobCategory,EmploymentLength,HouseholdIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,Telecommute,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonthly,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,equivalence_class,re_identification_risk,scenario_one,scenario_two,scenario_three,scenario_four
1,1,0,24 - 34,6 - 12,2,5 and Under,10 - 40,9.550296972089138,0.24079820509923766,1.1540753332341471,1,1,6,1,1,0,0,0,3,1,0,6.378784453272157,23,,1,3,8.64492985684462,10,381.14,1,16,7.85,116.3,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,30,0,0,1,0,0,1-1-0-6 - 12-2,0.037037037037037035,0.006944444444444444,0.01111111111111111,0.012777777777777777,0.037037037037037035
3,3,0,44 - 54,16 and Over,2,10 - 15,120 - 160,11.32721510210022,9.858050929105813,3.784143651201725,0,1,3,1,0,1,0,1,0,-1,-1,-0.35094638930150857,23,,1,4,15.017185800139266,11,445.9,0,36,3.4,122,1,49.25,1693.6,1,1,61.25,2209.2,1,1,1,3,1,1,1,1,1,10,1,1,1,1,0,3-3-0-16 and Over-2,0.07142857142857142,0.013392857142857142,0.021428571428571425,0.02464285714285714,0.07142857142857142
4,5,0,34 - 44,6 - 12,2,5 and Under,40 - 80,7.89922845559438,1.1816178965816369,2.3282100576873654,1,0,2,3,0,0,3,0,3,1,0,20.06733690695007,26,,1,4,14.600637312470317,13,461.15,0,38,6.75,244.7,1,27.4,1123.6,0,0,0.0,0.0,1,0,0,3,0,0,0,0,1,29,1,1,1,0,0,4-5-0-6 - 12-2,0.1111111111111111,0.020833333333333332,0.03333333333333333,0.03833333333333333,0.1111111111111111
3,1,0,44 - 54,16 and Over,5,15 - 20,120 - 160,16.203172393941287,3.2626249246589794,14.437235963684943,0,1,2,2,2,0,0,1,1,1,1,79.66319900607122,21,,1,1,29.703094176432312,8,416.12,0,69,22.05,1473.3,1,44.85,2973.0,1,1,36.45,2475.25,1,1,1,3,0,1,0,0,1,22,1,1,1,0,1,3-1-0-16 and Over-5,0.5,0.09375,0.15,0.1725,0.5
5,2,0,64 and Over,6 - 12,2,5 and Under,10 and Under,4.170057267512464,-0.081064834302653,-0.2612571308809948,0,0,1,1,1,0,0,0,1,1,0,5.366779129728249,24,,0,4,22.59831554235244,17,197.27,0,46,19.8,884.75,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0,1,1,1,1,0,21,1,0,0,0,1,5-2-0-6 - 12-2,0.3333333333333333,0.0625,0.09999999999999999,0.11499999999999999,0.3333333333333333
2,3,1,44 - 54,16 and Over,1,5 and Under,40 - 80,9.031585348769703,1.379609022194036,6.375927372485872,0,1,5,13,2,0,0,1,1,1,1,35.0473227895654,19,,1,4,14.994360223410183,4,78.22,1,31,7.0,238,1,57.25,1740.25,0,1,62.3,1879.25,1,1,1,4,0,0,0,0,1,22,1,1,1,1,0,2-3-1-16 and Over-1,0.06666666666666667,0.0125,0.02,0.023,0.06666666666666667
1,1,1,54 - 64,12 - 16,1,10 - 15,40 - 80,5.220580766408446,0.6317932240085251,2.6679331638491286,0,0,1,0,0,0,0,0,1,1,0,36.83135766763012,16,,0,4,12.755860835498977,9,283.59,0,41,13.0,479,0,0.0,0.0,1,1,19.35,764.35,0,0,0,2,1,1,1,1,0,13,1,1,1,1,0,1-1-1-12 - 16-1,0.029411764705882353,0.005514705882352941,0.008823529411764706,0.01014705882352941,0.029411764705882353
1,2,1,54 - 64,6 - 12,3,5 - 10,40 - 80,8.210574979772717,0.49397877245053534,3.2253820920119196,0,1,3,0,0,0,0,1,2,1,0,31.70279851377308,21,,0,1,23.778171142317788,11,501.11,0,49,9.3,465.5,0,0.0,0.0,1,0,0.0,0.0,0,1,0,0,1,1,1,1,0,29,0,0,0,0,1,1-2-1-6 - 12-3,0.1111111111111111,0.020833333333333332,0.03333333333333333,0.03833333333333333,0.1111111111111111
5,2,0,24 - 34,12 - 16,1,5 and Under,40 - 80,14.468008867472236,0.9463798011084702,4.074959674628686,1,0,5,1,0,1,0,0,0,-1,-1,1.4952974833701222,15,,1,4,4.235972013107315,11,391.97,1,46,14.45,659.35,1,29.75,1319.5,1,0,0.0,0.0,1,1,0,2,0,0,0,0,0,22,1,0,1,0,1,5-2-0-12 - 16-1,0.1111111111111111,0.020833333333333332,0.03333333333333333,0.03833333333333333,0.1111111111111111
5,4,0,64 and Over,6 - 12,3,25 and Over,10 - 40,10.121547877765277,1.8261405210339143,2.2572994927225647,0,1,2,9,0,0,0,0,2,1,0,16.03821074729733,34,,1,2,14.170989709379144,5,163.72,0,31,5.0,133.35,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,5-4-0-6 - 12-3,0.3333333333333333,0.0625,0.09999999999999999,0.11499999999999999,0.3333333333333333
1,1,1,44 - 54,6 - 12,2,5 and Under,10 - 40,17.21234628835475,2.4615147733315013,0.8606711865132732,1,0,2,9,0,0,0,1,2,1,0,8.781539570411542,23,,0,5,12.931947837809098,11,268.09,1,23,6.5,169.8,0,0.0,0.0,1,1,19.7,387.9,0,0,0,1,1,1,1,1,0,28,1,0,0,0,0,1-1-1-6 - 12-2,0.037037037037037035,0.006944444444444444,0.01111111111111111,0.012777777777777777,0.037037037037037035
5,1,0,44 - 54,16 and Over,2,5 and Under,40 - 80,2.4020402748076655,0.2704651218208387,1.7193451120849994,0,1,2,6,0,0,0,0,1,1,1,41.03456132128057,22,,1,1,14.930776065822768,14,333.68,0,21,6.15,141.25,1,26.35,516.3,1,0,0.0,0.0,0,0,0,0,0,0,0,0,1,19,1,1,0,0,0,5-1-0-16 and Over-2,0.25,0.046875,0.075,0.08625,0.25
5,1,0,64 and Over,6 - 12,2,10 - 15,10 - 40,3.074915734777504,0.5983886633825773,-1.3258917355594102,0,1,2,0,0,0,0,1,1,1,0,13.611181254729821,20,,0,1,1.6749108748790844,10,453.52,0,16,4.3,75,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,5-1-0-6 - 12-2,0.25,0.046875,0.075,0.08625,0.25
3,1,1,34 - 44,16 and Over,2,5 and Under,10 - 40,13.692870231087404,2.1862317752784315,1.1829293794433378,0,1,2,5,0,0,0,1,1,1,1,15.163975915416314,22,,1,4,8.822987250406578,14,272.44,1,27,6.65,201.55,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,3-1-1-16 and Over-2,0.0625,0.01171875,0.01875,0.0215625,0.0625
5,5,0,44 - 54,6 - 12,6,10 - 15,40 - 80,10.018728857156887,1.1482364251207782,4.665236158297415,0,1,5,1,1,0,0,1,1,1,1,30.2603705123018,39,,0,3,27.434021983554498,9,283.72,1,62,16.15,1016.85,0,0.0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5-5-0-6 - 12-6,0.2,0.037500000000000006,0.06,0.06899999999999999,0.2
5,4,0,24 and Under,12 - 16,3,5 and Under,10 - 40,9.156413295097463,0.7622583494282602,1.8680471249391912,1,0,1,6,1,0,0,0,2,1,0,15.812410581671623,25,,1,4,2.7525121133082346,9,196.56,1,13,4.75,47.55,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,17,1,0,1,0,0,5-4-0-12 - 16-3,0.1111111111111111,0.020833333333333332,0.03333333333333333,0.03833333333333333,0.1111111111111111
2,1,0,44 - 54,16 and Over,3,15 - 20,250 - 300,11.019438394163373,16.302722305087013,10.151670612618368,1,0,1,2,0,0,2,1,2,1,0,90.10252387486845,29,,1,4,29.929979382938857,12,1010.34,0,48,13.35,661.55,0,0.0,0.0,1,1,57.05,2716.6,1,1,1,3,1,1,1,1,1,13,1,1,1,1,1,2-1-0-16 and Over-3,0.16666666666666666,0.03125,0.049999999999999996,0.057499999999999996,0.16666666666666666
3,3,1,24 - 34,12 - 16,6,5 - 10,40 - 80,1.3279595261737507,0.2608996560350307,1.2237205950876453,0,0,1,2,2,0,0,1,3,1,0,28.532057481080635,34,,1,2,1.4347576857245243,12,221.56,0,3,4.05,11.15,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,18,0,1,1,0,0,3-3-1-12 - 16-6,0.14285714285714285,0.026785714285714284,0.04285714285714285,0.04928571428571428,0.14285714285714285
2,1,1,54 - 64,16 and Over,6,15 - 20,10 - 40,8.701098730223077,0.21053182746558075,3.247750155456206,0,0,1,4,0,0,0,0,1,1,1,8.355865375820235,20,,1,3,19.61748750941604,4,65.08,0,42,16.55,710.95,0,0.0,0.0,1,0,0.0,0.0,0,0,0,2,0,1,0,1,0,16,1,1,0,0,0,2-1-1-16 and Over-6,0.1111111111111111,0.020833333333333332,0.03333333333333333,0.03833333333333333,0.1111111111111111
2,2,0,34 - 44,6 - 12,1,5 and Under,10 - 40,5.772411665329042,0.0697761819312257,-0.4598995110615024,1,1,4,4,0,0,0,1,1,1,1,13.177527814767839,24,,0,4,17.37749097582395,12,192.19,1,48,12.9,555.75,0,0.0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,1,0,0,26,1,0,0,0,1,2-2-0-6 - 12-1,0.09090909090909091,0.017045454545454544,0.02727272727272727,0.031363636363636364,0.09090909090909091
3,2,1,44 - 54,12 - 16,1,10 - 15,80 - 120,9.829259611850519,5.11156895800715,3.9942959564213525,0,1,2,7,0,1,0,1,1,1,1,35.26563196299957,26,,0,4,11.217916946398988,8,220.46,1,37,5.6,221.2,1,49.85,1886.7,1,1,50.0,1710.15,1,1,1,4,1,1,1,1,1,22,1,1,1,1,0,3-2-1-12 - 16-1,0.06666666666666667,0.0125,0.02,0.023,0.06666666666666667
3,3,1,54 - 64,12 - 16,1,5 - 10,80 - 120,35.24069113322451,0.04158935398524566,27.040187864986265,1,0,1,0,0,0,0,1,4,1,1,55.310141744796944,18,,0,3,10.09295323611888,12,371.81,1,18,5.75,107.95,0,0.0,0.0,0,1,21.0,351.7,0,1,0,2,1,0,0,1,0,12,1,1,1,0,0,3-3-1-12 - 16-1,0.09090909090909091,0.017045454545454544,0.02727272727272727,0.031363636363636364,0.09090909090909091
4,1,1,54 - 64,16 and Over,3,10 - 15,40 - 80,1.4712168784023305,0.2697565646762983,0.36792675585627477,0,1,4,2,0,2,0,1,0,-1,-1,1.2862328970327712,23,,1,1,9.782548103126027,10,415.8,1,30,5.6,174.05,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0,0,1,1,1,1,18,0,1,0,0,0,4-1-1-16 and Over-3,0.25,0.046875,0.075,0.08625,0.25
5,4,1,54 - 64,16 and Over,1,5 - 10,120 - 160,6.627822280099497,5.140832834009456,5.779318275957212,0,1,2,0,0,0,0,0,5,1,0,68.768497723019,19,,1,4,34.603391375777186,10,693.8,1,66,22.05,1442.05,1,48.05,3054.8,1,1,60.5,4054.25,1,1,1,2,1,1,1,1,1,14,1,1,1,1,1,5-4-1-16 and Over-1,0.058823529411764705,0.011029411764705881,0.01764705882352941,0.02029411764705882,0.058823529411764705
2,1,1,24 - 34,16 and Over,2,5 and Under,10 - 40,6.037597835596742,1.4495071458640698,0.6237675523307651,0,1,2,0,0,0,0,0,3,0,1,15.99818929166479,20,,1,3,9.78172660259495,15,363.0,1,57,17.05,934,0,0.0,0.0,1,1,43.15,2437.2,1,1,0,1,1,1,1,1,1,22,1,1,1,0,1,2-1-1-16 and Over-2,0.05,0.009375000000000001,0.015,0.017249999999999998,0.05
